Domande,Risposte
Quali Drag Queen sono sia vincitrici di un'edizione sia icone fashon?,"Raja, Violet Chachki, Sasha Velour, Aquaria, Jaida Essence Hall, Symone"
In quale stagione hanno partecipato più icone fashon?,"7,9,12"
Per ogni stagione restituisci il nome della Drag Queen che ha vinto più maxi-challenge.,"1-Bebe Zahara Benet, Ongina. 2-Tyra Sanchez 3-Raja, Alexis Mateo, Manila Luzon 4-Sharon Needles 5-Alaska, Jinkx Monsoon, Roxxxy Andrews 6-Bianca del Rio, Adore Delano 7-Violet Chachki, Ginger Minj 8-Bob the Drag Queen 9-Shea Couleé 10-Aquaria, 11-Brooke Lynn Hytes 12-Gigi Goode 13-Symone 14-Bosco, Lady Camden 15-Sasha Colby"
"Restituisci l'anno, l'edizine e il numero di concorrenti della stagione che ha avuto più concorrenti.","2023, Quindicesima, 16"
Restituisci i nomi delle concorrenti che hanno partecipato alla puntata finale ordinate per ogni stagione,"Bebe Zahara Benet,Nina Flowers Rebecca Glasscock, 2-Tyra Sanchez,Raven,Jujubee 3-Raja Manila Luzon Alexis Mateo,4-Sharon Needles Chad Michaels Phi Phi O’Hara,5-Jinkx Monsoon Alaska Roxxxy Andrews, 6-Bianca Del Rio Adore Delano Courtney Act,7-Violet Chachki Ginger Minj Pearl, 8-Bob the Drag Queen Kim Chi Naomi Smalls, Sasha Velour Peppermin Shea Couleé Trinity The Tuck,10-Aquaria,Eureka O’Hara Kameron Michaels Asia O’Hara,11-Yvie Oddly Brooke Lynn Hytes A’Keria C. Davenport Silky Nutmeg Ganache,12-Jaida Essence Hall Crystal Methyd Gigi Goode,13-Symone Kandy Muse Gottmik Rosé,14-Willow Pill Lady Camden Angeria Paris VanMicheals Bosco Daya Betty,15-Sasha Colby Anetra Luxx Noir London Mistress Isabelle Brooks"
Restituire il nome della Drag Queen eliminata alla prima puntata di ogni stagione. NULL se in una stagione non è stata eliminata nessuna Drag Queen alla prima puntata.,"1-Victoria Porkchop, Parker 2-Shangela 3-Venus D-lite 4-Alisa Summers 5-Penny Tration,6-Kelly Mantle, Magnolia Crawford,7-Tempest DuJour,8-Dax ExclamationPoint, Laila McQueen,9-Jaymes Mansfield,10- Vanessa Vanjie Mateo,11-Soju,12-Dahlia Sin,13-Kahmora Hall,14-June Jambalaya,15-Irene Dubois"
Restituisci la stagione e l'anno di uscita della stagione con il minor numero di concorrenti,"2009, Prima, 9"
Restituisci il nome del giudice fisso che ha partecipato per più tempo al programma.,Rupaul
Restituisci il nome della vincitrice del programma per ogni stagione.,"1-Bebe Zahara Benet 2-Tyra Sanchez 3-Raja 4-Sharon Needles 5-Jinkx Moonson 6-Bianca del Rio 7-Violet Chachki, 8-Bob the Drag Queen 9-Sasha Velour 10-Aquaria 11-Yvire Oddly 12-Jaida Essence Hall 13-Symone 14-Willow Pill 15-Sasha Colby"
"Per ogni stagione restituisci il nome di chi ha vinto il premio ""Miss simpatia"".","1-Nina Flowers,2-Pandora Boxx,3-Yara Sofia,4-Latrice Royale,5-Ivy Winters,6-BenDeLaCreme,7-Katya,8-Cynthia Lee Fontaine,9-Valentina,10-Monét X Change,11-Nina West,12-Heidi N Closet,13-Lala Ri,14-Kornbread “The Snack” Jeté,15-Malaysia Babydoll Foxx"
